Name,Rating,Review Title,Review Text
Mr S Cansell,5,Great experience of Atom.,"Great experience of Atom from the very start, easy process to open an account and  simple instructions to transfer funds as necessary. When my savings account reached maturity, the process to withdraw/transfer was so simple. I have never had issues with the the app and so clear and simple to use."
Denise,5,Straight forward clear instructions and…,Straight forward clear instructions and offering a good competitive rate fixed .  Have the protection of the Ffs so there should be no loss of money.  As it is online no hastle making appointments recommend
margaret gallagher,5,All done online.was a doddle,"All done online.was a doddle, very happy with Atom & Their interest rate was best when I took it out, notify you week before, when your fixed rate ends, was that happy I took out another account."
MRS A MACLEOD,5,Satisfied customer…,"I am very happy with the service provided by Atom. The App is clear and easy to use.I had no problem withdrawing my interest from my previous one year fixed saver account and transferring the capital to the new one.The interest rates offered are pretty good although there are some slightly higher rates on the market but, overall, I am satisfied."
Anita Gardner,5,App is so user friendly,App is so user friendly. Customer care is friendly and efficient. Would definitely recommend saving with Atom. All but good things to say about them.
Joanne,5,Barrie in retentions is brill!,"I’ve been with Atom Bank for a couple years (mortgage customer). Always found everything great; the app / vault is really handy and works well. Always manage to get through to people with ease, for any queries. Barrie in the retentions team stands out as going the extra mile and being extremely  friendly, knowledgable and helpful. I never have to reply and ask for more clarity and completely trust the information he gives. He’s made my experience with atom bank 5 stars!"
Rui Moreira,5,Helpful customer service,"I called Atom Bank in order to have my address updated to provide proof of address for an employer. The employee who spoke to me (Begonia) was very helpful and not only provided me with a quick update but also went above and beyond to check if extra documents could be issued to serve as proof of address, which helped me significantly. Very satisfied with the service."
patrick,4,Customer service is excellent.,Customer service is excellent.I did think you could add money monthly but I was wrong so that changes how I can use atom Bank bur if you have a big lump of money then it makes sense to lock it up for 5 years. I know I can save upto 100k and open as many saver as I like
Claire Ansett,5,New user for Atom Bank,Only just started using Atom Bank as was looking for an bank offering higher interest rates for our savings. So far very impressed. App extremely easy to use. Very clear joining instructions. Felt secure and confident to use them
antony crossley,5,Fabulous challenger bank                                             can transfer money in…,Really good app.can transfer money in and out immediately with excellent rates.customer service is top notch with the call centre in the UK.
Jeremy Hatton,5,Constantly competitive saving rates,I went with Atom as they offered some really competitive savings rates and were usually amongst the first to increase these rates and have been really happy with the app provided to manage my accounts
Mr Paul Champness,5,The future is now - simple and intuitive!,How easy to set up an account? Incredibly! Was attracted to Atom by the rates and the fact you could use an app. So easy and straightforward. The app is modern and intuitive. Full recommendation to anyone thinking of starting to save with Atom and a well done to whomever was involved in making the experience so simple.
Maureen Lloyd,5,Excellent customer service,"Excellent customer service. Jim was a lovely chap and very helpful, sorting my  problem straight away."
Kenneth Littlewood,5,I’ve had atom savings and fixed saver…,I’ve had atom savings and fixed saver accounts for some years and have had the best of interest rates and faultless service. So I can honestly recommend Atom
Brian Barclay,5,Originally the account was easy to set…,Originally the account was easy to set up. Received a few emails prior to my one year fix maturing. The yearly interest was paid into my nominated account on the day of maturity. I have invested in another year fix. All good. Very happy with Atom Bank.
customer,5,User friendly,I find it very easy to save with Atom as the app is very straightforward and it offers a good rate of interest. Money is also protected with the FSCS which is reassuring.
HW,5,So easy to manage,"Having just had a 1 year fixed rate savings account mature, I couldn't believe how easy it was to transfer to a new competitive fixed rate with an option of transferring all or only some of the money.  All done on the ATOM App - couldn't have been simpler."
Dw1412,4,Good rate’s,"Good rates ,easy to open account ,quick service everything set up in minutes various ways to log in.Face recognition not the best but does work.All in all a good experience would recommend"
Tracey Upton,5,Atom is briliant!…,Each and every time I need to contact Atom I get an instant response and helpful guidance to answer my query.It always increases the interest rates so quickly and rewards its customers so thank you very much  I have recommended you to at lest 4 new clients.
Cameron Stobo,3,"Great app, but won't recognise .co.uk","I love the app, have been a customer before and found atom a great bank.However, your app wouldn't recognise my hotmail.co.uk email which is my main contact and was extremely frustrating!"
customer,5,Atom monthly fixed account,Easy to open and with App easy to view and control. Decent rate of interest with Monthly interest on time. No problem recommending.
KEN JONES,5,"Simple ,secure process to set up…","Simple ,secure process to set up accounts.Good communication with updates when I opened fixed rate accounts.Lots of flexibility and choice of accounts to make your money work for you."
tracy,5,This is the second year of using Atom.,This is the second year of using Atom.Really pleased with the online banking.Simple to use. Good interest rates. Kept updated by emails when account is maturing.
Don O'Sullivan,5,Just a great Bank,"Just a great Bank, Ive been with Atom since they first set up and everthing has always worked so smoothly.Easy to deposit funds, kept notified in advance of maturity and possile options and always recieve funds to my nominated account on time. Interest rates extremely competitive and help is always on hand if needed."
Charles Robertson,5,Easy Peasy,"So easy to set up on line. When it matures very easy to either reinvest, withdraw all, or withdraw interest only. Easy Peary. Great interest rates."
Mr Ali  Jamil,3,Repeat business and  Competative interest rate,"Competative interest rate, super easy App to use and easy and fast account establishing procedure. This is my second account and probabaly there will be more."
Mrs M Vickers,5,Online App so easy to set up and use.,There is an Online App so it is easy to set up an account. This is the second one year fixed savings account I have had with Atom. Atom’s interest rates are competitive. The service has been good. I have rung customer services a couple of times and the calls were answered quickly and my queries were resolved on the call.
sarah davies,5,It was relatively simple to set up and…,It was relatively simple to set up and acknowledged. I did get some texts afterwards which kept reminding me to make my investment which I'd already done which was irritating though.
ros smith,5,So easy to use,"So easy to use, kept up to date with interest rate changes and plenty of notice when savings were about to mature and easy instructions on how to either re-invest or draw the cash or partial withdrawal.  So many easier than any high street bank and better interest rate too!"
customer,5,Setting up an account was simple,"Setting up an account was simple, straight forward and intuitive. Interest rates are excellent and higher than high street banks who take forever to raise the rate following an increase in the Bank of England base rate but are very quick to bring it down. Atom adjust to the new rate very quickly. The app for iOS or Android is also very good."
Mic,5,Great fixed savers,The process was so simple and instructions were easy to follow. Great rates on all the fixed savers and loved the fact you can do a short term 6 month saver. Have now done my second one and will continue to use going forward.
Richard Smith,5,Great Rates and Easy to Set Up,"I had some cash earning next to nothing in an HSBC Flexsaver account and transferred it into Atom, which had the best rate I could find. Very easy to set up. No clunky legacy systems like the old banks. I had a problem of my own making in that I had an existing log in from very early in Atom's life when I helped at Durham University with facial recognition testing. That needed unlocking before I could use it but the call centre was really helpful and clear and it was all sorted whilst I was on the phone. These guys are really serious about their customers."
customer,5,Fixed saver,"Easy to download App and set up account on line.  Opted for fixed saver, so hope interest rates don’t go too high, otherwise I’ll loose out, but my choice."
J King,5,Atom Savings account,I've been with Atom on and off for a few years. Customer service is great as is the app. The interest rates always more than competitive. Would recommend them to anybody.
Debbie Massey,5,Simple transactions once you link your…,Simple transactions once you link your nominated account.Great interest rates!
Andrew Styles,5,Always very quick and easy to use the…,Always very quick and easy to use the app. Interest rates are also very competitive.
Wise old owl.,5,Excellent all round.,Been with this company number of years. Rates and service is excellent.  App so easy to use. Savings are covered by Fsa for first £85000.
P,2,No longer offering competitive interest…,"If your happy not to get a decent interest  rate for your savings and just earn a couple of pounds then Atom bank are for you, Santander instant access 5.20% or 5.08% paid monthly,  Atom bank 4.03%, no large overheads like Santander?"
Nicholas Bowen,5,I love the app,"I love the app, it's easy to use and the way you can see your upcoming interest you will be earning over the time period of your investment, so I highly recommend atom bank and the atom bank app"
Denis Higham,5,I looked around at various banks to see…,"I looked around at various banks to see where I could invest my money, Atom came out one of the best for the interest rates they were offering. I was looking for internet banking accounts or app only and after reading about Atom (app acccounts) decided on them. The whole process of registration and applying for the accounts is straight forward and easy, would highly recommend, well done Atom for simplifying the whole thing."
Mr williams,5,The help which I was given very good…,The help which I was given very good clear and Easley to understand the app easy to use  and very clear I would recommend them to all my friends regs  Dan
Robert Osborne,5,Could not have been easier to move…,Could not have been easier to move money from existing account into new one
John,4,Too early to say,"Too early to say, still undecided. Have put in a small investment, looking at building a fixed rate saving ladder that is easy to manage. The one thing that is not clear is why can't I just specify now, at maturity transfer the funds back to my linked account. It seems I have to wait for you to contact me at some random point in the future."
Andrew Scaife,5,Simple easy to use app and great…,Simple easy to use app and great interest rates and excellent customer service
DMS,4,Straightforward to open account …,Straightforward to open account and pay money in. Would have liked to be able to print out confirmation of account details (amount/date paid/interest rate) right away but this document only became available after the 'closing date' for adding money to the account.
Nick Saul,5,None of this half an hour to open…,None of this half an hour to open account and then waiting to receive more nonsense through the post. You just open the account. That's all any customer wants. But it's as safe as all the other banks that treat you like you're 6. I love Atom bank but I'm sad you just reduced your rates on bonds as I wanted to open another one.
Terry Ramrattan,3,Low interest rate,Easy to set up. Easy to access. Easy to transfer money in and out….But! The rate of interest is below most other institutions and recommendations therefore I transferred all money out into a higher interest rate bank!
Shaun Smith,5,Easy to set up.,Easy to set up.no delays in moving money from accounts.good communication.also very competitive rates.
Jane Hand,5,New Account Set Up,"Opened an account with Atom and I was impressed with how easy the process was, seemed to take no time at all.  I felt assured by the security provided when submitting my details and transferring monies in.  Very impressed."
Chris,5,The Atom App is safe & so easy to use,"The Atom App is safe & so easy to use. It is very clear & gives the customer a great choice, particularly if you want to invest your money for shorter periods. The interest rates are far far better than the high street banks."
Wayne Nutt,5,Simple easy process in setting up the account.,Simple easy process in setting up the account..showing all the information needed. Only opened it a few days ago so not had any interest yet. But shows a good rate. Far better than my bank savings accounts.
Rashad Sharif,5,So simple and easy to set up,So simple and easy to set up a savings account. Usually I procrastinate on moving money to a better interest rate accounts as the admin takes such a long time. With Atom bank I had a live bank account with a high interest rate I could transfer cash to immediate within around 10 mins.
KT,5,Simple straightforward and good interest…,I’m really pleased with my Atom fixed term deposit account. It was easy to open - the security looks good and the app is very straightforward to use. I had money sitting in my High Street bank earning hardly any interest and now I know that in a year I’ll get a reasonable amount that’s much better protection from inflation.
Pauline Wells,5,Excellent Bank,"Simple, straightforward info on how to open new accounts. Face ID makes logging in easy. My ‘go to’ bank."
deborah,5,Easy to open an internet account and…,Easy to open an internet account and they have excellent customer care if you want to speak to someone about your account
C Dixon,5,Easy to use app,The app is simple and easy to use and provides clear information about their products. Easy to access.
Christopher,5,Very easy to setup.,Very easy to setup.App is superb. Nice and simple with just the information and functionality required. No surplus information trying to sell me anything. Just the important stuff.Very pleased so far. Just awaiting my first monthly interest payments.
Liam,4,Strong rates on fixed savings however…,Strong rates on fixed savings however slightly behind on easy access rates. Nice smooth app and simple to use. Recommended to family and friends. 👍
Someone in IT Security,1,KNOWN SECURITY EXPLOIT!!!!,"The app has a bespoke ""FaceID"" feature (I'm not referring to the iPhone FaceID hardware) which uses the front camera to check if you match the photo you uploaded when creating the account.The bespoke FaceID feature cannot be disabled which allows someone to login by simply putting any publicly available photograph they find of you in front of the camera (which I have been able to replicate and have reported to the ICO as a breach of reasonable security and GDPR).Incredibly bad practice, massive security flaw and not acceptable by modern standards especially from a banking app. Made worse by the fact that I reported this to Atom and they said it was fine?!?! (despite the fact that I walked them through how I was able to bypass their login screen without ever needing to be present at the device).This feature should not exist, leave FaceID up to the experts, you are a bank, you don't know what you are doing."
Kathleen burns,5,Great rate,"Easy to open, fantastic savings rate have already recommended to friends"
Maria Unsworth,5,Wonderful service with Atom . I have had money invested with Atom for…,"I have had money invested with Atom for over 4 yrs  I have been very satisfied with the service they have to offer, I have already recommended them to friends and family and I am sure I will stay with them for years to come"
Lisa Morley,5,I was hesitant about using an app for…,"I was hesitant about using an app for banking, as well as there being no physical branches. However, communication has been good so far, and all has gone smoothly. I haven't needed to ring anyone yet but I'm hopeful all would be well."
Claire Curtis,5,Very easy app to use,Very easy app to use. Easy to open accountsClear interest rates and projections Good communication by email.Once had problem logging in phoned them were excellent
Victoria  Hall,5,Very easy to open an account,"Very easy to open an account and the app easy to you, very good for a savings account good interest rates, and tells you exactly what how much interest you get for amount of money you save and for how long. Would definitely recommend Atom Bank."
Kathryn,5,A friend recommended Atom Bank to me,A friend recommended Atom Bank to me. She said they were easy to deal with.  I wanted an online bank & found it easy to open an account. The interest rates are very competitive.  The security is good & I've had plenty of communication from the bank.  I didn't have any problems transferring money to my account & I will now sit back & watch my money grow.
Scott,5,Easy & fast to set up a new account,Easy & fast to set up a new account. Rates are also competitive.Recommended.
Debra,5,I couldn't believe the great deals on the Atom bank website,"I couldn't believe the great deals on the Atom bank website, regards interest rates, so I decided to stop procrastinating and move my savings around to make them work for me. The app is so easy to use and payments in and out of the accounts were instantaneous. I've been with Atom for a good few years now and they are always competitive, friendly and helpful, if you need to ring them."
Gemma,5,Impressed,"Impressed by Atom over the last 3 years .Easy app to navigate , no overload of emails or pushy product messaging. Good security features  and competitive rates"
Brynley Davies,5,First used Atom Bank January 2019,"First used Atom Bank January 2019. Have used numerous bond since then to minimize effects of inflation. Rates always competitive,simple to use. Two of my daughters also now Atom customers."
