category,cleaned_review_body
Positive,great experience atom start easy process open account simple instruction transfer fund necessary saving account reached maturity process simple never issue app clear simple use
Positive,straight forward clear instruction offering good competitive rate fixed protection ffs loss money online hastle making appointment recommend
Positive,done doddle happy atom interest rate best took notify week fixed rate end happy took another account
Positive,happy service provided atom app clear easy problem withdrawing interest previous one year fixed saver account transferring capital new interest rate offered pretty good although slightly higher rate market overall satisfied
Positive,app user friendly customer care friendly efficient would definitely recommend saving atom good thing say
Positive,atom bank couple year mortgage customer always found everything great app vault really handy work well always manage get people ease query barrie retention team stand going extra mile extremely friendly knowledgable helpful never reply ask clarity completely trust information give made experience atom bank star
Positive,called atom bank order address updated provide proof address employer employee spoke begonia helpful not provided quick update also went beyond check extra document could issued serve proof address helped significantly satisfied service
Positive,customer service think could add money monthly wrong change use atom bank bur big lump money make sense lock year know save upto open many saver like
Positive,started using atom bank looking bank offering higher interest rate saving far impressed app extremely easy use clear joining instruction felt secure confident use
Positive,really good transfer money immediately excellent service top notch call centre
Positive,went atom offered really competitive saving rate usually amongst first increase rate really happy app provided manage account
Positive,easy set account incredibly attracted atom rate fact could use app easy straightforward app modern intuitive full recommendation anyone thinking starting save atom well done whomever involved making experience simple
Positive,excellent customer service jim lovely chap helpful sorting problem straight away
Positive,atom saving fixed saver account year best interest rate faultless service honestly recommend atom
Positive,originally account easy set received email prior one year fix maturing yearly interest paid nominated account day maturity invested another year fix good happy atom bank
Positive,find easy save atom app straightforward offer good rate interest money also protected fscs reassuring
Positive,year fixed rate saving account mature could not believe easy transfer new competitive fixed rate option transferring money done atom app could not simpler
Positive,good rate easy open account quick service everything set minute various way log recognition not best good experience would recommend
Positive,every time need contact atom get instant response helpful guidance answer always increase interest rate quickly reward customer thank much recommended lest new client
Neutral,love app customer found atom great app would not recognise email main contact extremely frustrating
Positive,easy open app easy view control decent rate interest monthly interest time problem recommending
Positive,simple secure process set communication update opened fixed rate flexibility choice account make money work
Positive,second year using pleased online use good interest rate kept updated email account maturing
Positive,great bank atom since first set everthing always worked deposit fund kept notified advance maturity possile option always recieve fund nominated account time interest rate extremely competitive help always hand needed
Positive,easy set line matures easy either reinvest withdraw withdraw interest easy peary great interest rate
Neutral,competative interest rate super easy app use easy fast account establishing procedure second account probabaly
Positive,online app easy set account second one year fixed saving account atom atom interest rate competitive service good rung customer service couple time call answered quickly query resolved call
Positive,relatively simple set acknowledged get text afterwards kept reminding make investment would already done irritating though
Positive,easy use kept date interest rate change plenty notice saving mature easy instruction either draw cash partial withdrawal many easier high street bank better interest rate
Positive,setting account simple straight forward intuitive interest rate excellent higher high street bank take forever raise rate following increase bank england base rate quick bring atom adjust new rate quickly app io android also good
Positive,process simple instruction easy follow great rate fixed saver loved fact short term month saver done second one continue use going forward
Positive,cash earning next nothing hsbc flexsaver account transferred atom best rate could find easy set clunky legacy system like old bank problem making existing log early atom life helped durham university facial recognition testing needed unlocking could use call centre really helpful clear sorted whilst phone guy really serious customer
Positive,easy download app set account line opted fixed saver hope interest rate not high otherwise loose choice
Positive,atom year customer service great app interest rate always competitive would recommend anybody
Positive,simple transaction link nominated interest rate
Positive,always quick easy use app interest rate also competitive
Positive,company number year rate service excellent app easy use saving covered fsa first
Negative,happy not get decent interest rate saving earn couple pound atom bank santander instant access paid monthly atom bank large overhead like santander
Positive,love app easy use way see upcoming interest earning time period investment highly recommend atom bank atom bank app
Positive,looked around various bank see could invest money atom came one best interest rate offering looking internet banking account app reading atom app acccounts decided whole process registration applying account straight forward easy would highly recommend well done atom simplifying whole thing
Positive,help given good clear easley understand app easy use clear would recommend friend regs dan
Positive,could not easier move money existing account new one
Positive,early say still undecided put small investment looking building fixed rate saving ladder easy manage one thing not clear not specify maturity transfer fund back linked account seems wait contact random point future
Positive,simple easy use app great interest rate excellent customer service
Positive,straightforward open account pay money would liked able print confirmation account detail rate right away document became available date adding money account
Positive,none half hour open account waiting receive nonsense post open account customer want safe bank treat like love atom bank sad reduced rate bond wanted open another one
Neutral,easy set easy access easy transfer money rate interest institution recommendation therefore transferred money higher interest rate bank
Positive,easy set delay moving money competitive rate
Positive,opened account atom impressed easy process seemed take time felt assured security provided submitting detail transferring monies impressed
Positive,atom app safe easy use clear give customer great choice particularly want invest money shorter period interest rate far far better high street bank
Positive,simple easy process setting account showing information needed opened day ago not interest yet show good rate far better bank saving account
Positive,simple easy set saving account usually procrastinate moving money better interest rate account admin take long time atom bank live bank account high interest rate could transfer cash immediate within around min
Positive,really pleased atom fixed term deposit account easy open security look good app straightforward use money sitting high street bank earning hardly interest know year get reasonable amount much better protection inflation
Positive,simple straightforward info open new account face make logging easy bank
Positive,easy open internet account excellent customer care want speak someone account
Positive,app simple easy use provides clear information product easy access
Positive,easy superb nice simple information functionality required surplus information trying sell anything important pleased far awaiting first monthly interest payment
